Part           	Vertex         	Longitude (dd) 	Latitude (dd)  	Z (Meters)     
1              	207            	172.7226630°E  	43.7814872°S   	0              
1              	208            	172.7182640°E  	43.7846528°S   	0              
1              	209            	172.7124092°E  	43.7865440°S   	0              
1              	210            	172.7056793°E  	43.7880092°S   	0              
1              	211            	172.6968846°E  	43.7930683°S   	0              
1              	212            	172.6916293°E  	43.7917837°S   	0              
1              	213            	172.6945730°E  	43.7877683°S   	0              
1              	214            	172.7001446°E  	43.7841832°S   	0              
1              	215            	172.7025081°E  	43.7791072°S   	0              
1              	216            	172.7080990°E  	43.7712867°S   	0              
1              	217            	172.7160050°E  	43.7679185°S   	0              
1              	218            	172.7285993°E  	43.7613846°S   	0              
1              	219            	172.7306587°E  	43.7582131°S   	0              
1              	220            	172.7236422°E  	43.7592552°S   	0              
1              	221            	172.7142719°E  	43.7636790°S   	0              
1              	222            	172.7037231°E  	43.7697931°S   	0              
1              	223            	172.6987045°E  	43.7799443°S   	0              
1              	224            	172.6896083°E  	43.7869079°S   	0              
1              	225            	172.6825810°E  	43.7892179°S   	0              
1              	226            	172.6781930°E  	43.7898409°S   	0              
1              	227            	172.6740835°E  	43.7930056°S   	0              
1              	228            	172.6694075°E  	43.7927804°S   	0              
1              	229            	172.6661813°E  	43.7946768°S   	0              
1              	230            	172.6644309°E  	43.7940364°S   	0              
1              	231            	172.6626924°E  	43.7912785°S   	0              
1              	232            	172.6656309°E  	43.7885343°S   	0              
1              	233            	172.6706198°E  	43.7849489°S   	0              
1              	234            	172.6679892°E  	43.7849413°S   	0              
1              	235            	172.6615495°E  	43.7866165°S   	0              
1              	236            	172.6603947°E  	43.7840720°S   	0              
1              	237            	172.6653681°E  	43.7832396°S   	0              
1              	238            	172.6671300°E  	43.7817625°S   	0              
1              	239            	172.6642216°E  	43.7792129°S   	0              
1              	240            	172.6580613°E  	43.7832180°S   	0              
1              	241            	172.6533935°E  	43.7817217°S   	0              
1              	242            	172.6563234°E  	43.7804600°S   	0              
1              	243            	172.6610259°E  	43.7758154°S   	0              
1              	244            	172.6636774°E  	43.7720116°S   	0              
1              	245            	172.6689724°E  	43.7656744°S   	0              
1              	246            	172.6739546°E  	43.7629359°S   	0              
1              	247            	172.6792160°E  	43.7625272°S   	0              
1              	248            	172.6818568°E  	43.7604171°S   	0              
1              	249            	172.6865646°E  	43.7540774°S   	0              
1              	250            	172.6874630°E  	43.7498447°S   	0              
1              	251            	172.6889488°E  	43.7449783°S   	0              
1              	252            	172.6916124°E  	43.7382093°S   	0              
1              	253            	172.6951450°E  	43.7327131°S   	0              
1              	254            	172.6992419°E  	43.7310299°S   	0              
1              	255            	172.7039194°E  	43.7299833°S   	0              
1              	256            	172.7094728°E  	43.7289387°S   	0              
1              	257            	172.7141511°E  	43.7276800°S   	0              
1              	258            	172.7185440°E  	43.7249380°S   	0              
1              	259            	172.7249756°E  	43.7232596°S   	0              
1              	260            	172.7258622°E  	43.7209324°S   	0              
1              	261            	172.7182620°E  	43.7228198°S   	0              
1              	262            	172.7138752°E  	43.7242912°S   	0              
1              	263            	172.7056912°E  	43.7259645°S   	0              
1              	264            	172.7021925°E  	43.7248966°S   	0              
1              	265            	172.6978020°E  	43.7270027°S   	0              
1              	266            	172.6931332°E  	43.7263549°S   	0              
1              	267            	172.6919522°E  	43.7288929°S   	0              
1              	268            	172.6913562°E  	43.7312206°S   	0              
